Qty,Refs,Value,Package
13,C1 C2 C3 C4 C5 C6 C11 C12 C13 C14 C17 C18 C19,100nF,C_0603
1,C7,1uF,C_0603
3,C8 C9 C10,10uF,C_0805
2,C15 C16,27pF,C_0603
1,J1,USB-C-16P,USB-C
1,J2,ILI9341-LCD,PinHeader_1x14_P2.54mm
1,J3,SWD,PinHeader_1x03_P2.54mm
1,J4,FPGA-IO,PinHeader_1x10_P2.54mm
1,LED1,green,LED_0603
1,LED2,red,LED_0603
2,R1 R2,5.1k,R_0603
2,R3 R4,27,R_0603
2,R5 R7,1k,R_0603
2,R6 R10,10k,R_0603
2,R8 R9,330,R_0603
1,SW1,RESET,SW_SMD_2P
1,SW2,BOOTSEL,SW_SMD_2P
1,U1,RP2040,QFN-56
1,U2,W25Q128JVS,SOIC-8
1,U3,iCE40UP5K-SG48I,QFN-48
1,U4,W25Q32JVSS,SOIC-8
1,U5,AMS1117-3.3,SOT-223
1,U6,AMS1117-1.2,SOT-223
1,Y1,12MHz,Crystal_3225
