Ref,Value,Package,PosX,PosY,Rotation,Side
C1,100nF,C_0603,23.0000,26.0000,0.0,Top
C2,100nF,C_0603,23.0000,38.0000,0.0,Top
C3,100nF,C_0603,37.0000,26.0000,0.0,Top
C4,100nF,C_0603,37.0000,38.0000,0.0,Top
C5,100nF,C_0603,30.0000,24.0000,0.0,Top
C6,100nF,C_0603,30.0000,40.0000,0.0,Top
C7,1uF,C_0603,34.0000,40.0000,0.0,Top
C8,10uF,C_0805,16.0000,6.0000,0.0,Top
C9,10uF,C_0805,4.0000,16.0000,0.0,Top
C10,10uF,C_0805,30.0000,6.0000,0.0,Top
C11,100nF,C_0603,48.0000,30.0000,0.0,Top
C12,100nF,C_0603,48.0000,42.0000,0.0,Top
C13,100nF,C_0603,60.0000,42.0000,0.0,Top
C14,100nF,C_0603,60.0000,30.0000,0.0,Top
C15,27pF,C_0603,18.0000,17.0000,0.0,Top
C16,27pF,C_0603,26.0000,17.0000,0.0,Top
C17,100nF,C_0603,44.0000,28.5000,0.0,Top
C18,100nF,C_0603,54.0000,21.0000,0.0,Top
C19,100nF,C_0603,54.0000,28.0000,0.0,Top
J1,USB-C-16P,USB-C,6.0000,27.5000,90.0,Top
J2,ILI9341-LCD,PinHeader_1x14_P2.54mm,65.5000,29.0000,0.0,Top
J3,SWD,PinHeader_1x03_P2.54mm,8.0000,48.0000,90.0,Top
J4,FPGA-IO,PinHeader_1x10_P2.54mm,46.0000,5.5000,90.0,Top
LED1,green,LED_0603,47.0000,50.0000,0.0,Top
LED2,red,LED_0603,62.0000,24.0000,0.0,Top
R1,5.1k,R_0603,12.0000,33.0000,0.0,Top
R2,5.1k,R_0603,12.0000,24.0000,0.0,Top
R3,27,R_0603,15.0000,31.0000,0.0,Top
R4,27,R_0603,15.0000,24.0000,0.0,Top
R5,1k,R_0603,30.0000,20.0000,0.0,Top
R6,10k,R_0603,24.0000,46.0000,0.0,Top
R7,1k,R_0603,34.0000,46.0000,0.0,Top
R8,330,R_0603,42.0000,50.0000,0.0,Top
R9,330,R_0603,62.0000,20.0000,0.0,Top
R10,10k,R_0603,48.0000,20.0000,0.0,Top
SW1,RESET,SW_SMD_2P,24.0000,50.0000,0.0,Top
SW2,BOOTSEL,SW_SMD_2P,34.0000,50.0000,0.0,Top
U1,RP2040,QFN-56,30.0000,32.0000,0.0,Top
U2,W25Q128JVS,SOIC-8,44.0000,24.0000,0.0,Top
U3,iCE40UP5K-SG48I,QFN-48,54.0000,36.0000,0.0,Top
U4,W25Q32JVSS,SOIC-8,54.0000,16.0000,0.0,Top
U5,AMS1117-3.3,SOT-223,10.0000,10.0000,0.0,Top
U6,AMS1117-1.2,SOT-223,24.0000,10.0000,0.0,Top
Y1,12MHz,Crystal_3225,22.0000,20.0000,0.0,Top
